datetime,datetimeEpoch,temp,humidity,windspeed,solarradiation,sunrise,sunriseEpoch,sunset,sunsetEpoch,conditions,description
2025-01-01,1735689600,25.4,72.3,25.9,241.8,06:35:58,1735693558.0,18:07:45,1735735065.0,Partially cloudy,Partly cloudy throughout the day.
2025-01-02,1735776000,25.5,70.9,18.4,190.2,06:36:21,1735779981.0,18:08:18,1735821498.0,Partially cloudy,Partly cloudy throughout the day.
2025-01-03,1735862400,25.1,69.7,24.1,193.0,06:36:44,1735866404.0,18:08:50,1735907930.0,Partially cloudy,Partly cloudy throughout the day.
2025-01-04,1735948800,24.6,70.3,18.6,209.6,06:37:06,1735952826.0,18:09:23,1735994363.0,Partially cloudy,Partly cloudy throughout the day.
2025-01-05,1736035200,24.7,71.1,18.4,249.5,06:37:28,1736039248.0,18:09:55,1736080795.0,Partially cloudy,Partly cloudy throughout the day.
2025-01-06,1736121600,24.5,71.1,18.4,243.4,06:37:48,1736125668.0,18:10:28,1736167228.0,Partially cloudy,Partly cloudy throughout the day.
2025-01-07,1736208000,25.5,73.0,14.8,176.6,06:38:08,1736212088.0,18:11:00,1736253660.0,Partially cloudy,Partly cloudy throughout the day.
2025-01-08,1736294400,25.6,75.7,20.5,170.8,06:38:27,1736298507.0,18:11:32,1736340092.0,Partially cloudy,Partly cloudy throughout the day.
2025-01-09,1736380800,25.4,70.9,22.3,173.7,06:38:45,1736384925.0,18:12:05,1736426525.0,Partially cloudy,Partly cloudy throughout the day.
2025-01-10,1736467200,25.6,73.9,22.3,148.2,06:39:02,1736471342.0,18:12:36,1736512956.0,Partially cloudy,Partly cloudy throughout the day.
2025-01-11,1736553600,25.7,77.5,22.3,124.1,06:39:18,1736557758.0,18:13:08,1736599388.0,Partially cloudy,Partly cloudy throughout the day.
2025-01-12,1736640000,26.0,72.9,22.3,178.9,06:39:34,1736644174.0,18:13:39,1736685819.0,Partially cloudy,Partly cloudy throughout the day.
2025-01-13,1736726400,26.4,78.9,20.5,137.8,06:39:48,1736730588.0,18:14:10,1736772250.0,Partially cloudy,Partly cloudy throughout the day.
2025-01-14,1736812800,25.6,80.2,22.3,139.2,06:40:02,1736817002.0,18:14:41,1736858681.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2025-01-15,1736899200,24.9,84.8,22.3,128.2,06:40:14,1736903414.0,18:15:12,1736945112.0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.
2025-01-16,1736985600,25.6,74.2,22.3,132.7,06:40:26,1736989826.0,18:15:42,1737031542.0,Partially cloudy,Partly cloudy throughout the day.
2025-01-17,1737072000,25.6,71.1,25.9,209.0,06:40:36,1737076236.0,18:16:11,1737117971.0,Partially cloudy,Partly cloudy throughout the day.
2025-01-18,1737158400,25.3,72.7,24.2,125.2,06:40:46,1737162646.0,18:16:41,1737204401.0,Partially cloudy,Partly cloudy throughout the day.
2025-01-19,1737244800,25.5,84.3,20.5,70.6,06:40:54,1737249054.0,18:17:09,1737290829.0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2025-01-20,1737331200,25.9,74.6,22.3,184.7,06:41:02,1737335462.0,18:17:38,1737377258.0,Partially cloudy,Partly cloudy throughout the day.
2025-01-21,1737417600,25.3,69.5,22.3,263.3,06:41:08,1737421868.0,18:18:06,1737463686.0,Partially cloudy,Partly cloudy throughout the day.
2025-01-22,1737504000,25.6,77.8,14.8,147.9,06:41:14,1737508274.0,18:18:33,1737550113.0,Partially cloudy,Partly cloudy throughout the day.
2025-01-23,1737590400,25.9,76.8,22.3,171.5,06:41:18,1737594678.0,18:19:00,1737636540.0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.
