cycle_id,stage_index,stage_name,hourly_rows,start_timestamp,end_timestamp,actual_days,max_stage_prog,mean_gdd,mean_indoor_temp,mean_indoor_humidity,mean_vpd,mean_solarradiation,std_indoor_temp,std_indoor_humidity,std_vpd,std_solarradiation
1,0,seedling,288,2024-07-01,2024-07-12 23:00:00,11.9583,99.653,118.3672,32.0498,67.2064,1.6391,65.2206,3.2638,7.3374,0.6438,82.4533
1,1,early_vegetative,624,2024-07-13,2024-08-07 23:00:00,25.9583,99.84,488.2756,31.7585,64.8709,1.7331,60.3473,3.2563,8.9351,0.7242,77.5785
1,2,flowering_initiation,264,2024-08-08,2024-08-18 23:00:00,10.9583,99.621,844.2913,30.3257,79.9802,0.9249,70.9685,3.3081,6.5864,0.4706,87.5864
1,3,flowering,408,2024-08-19,2024-09-04 23:00:00,16.9583,99.755,1109.693,31.2304,69.6918,1.4594,68.4828,3.2787,9.4541,0.6827,85.253
1,4,unripe,768,2024-09-05,2024-10-06 23:00:00,31.9583,99.87,1592.937,32.4996,63.1299,1.9149,74.7974,3.4829,11.4053,0.8831,93.4491
1,5,ripe,360,2024-10-07,2024-10-21 23:00:00,14.9583,99.722,2038.6417,28.9143,81.8379,0.772,52.2208,2.9536,7.0606,0.4191,66.6383
2,0,seedling,288,2024-11-10,2024-11-21 23:00:00,11.9583,99.653,107.63,27.993,82.0327,0.7275,44.3033,2.9213,7.8805,0.432,64.8487
2,1,early_vegetative,624,2024-11-22,2024-12-17 23:00:00,25.9583,99.84,431.5009,27.3127,82.26,0.6906,47.3444,3.0862,7.5399,0.3865,66.4477
2,2,flowering_initiation,216,2024-12-18,2024-12-26 23:00:00,8.9583,99.537,731.2494,28.631,81.144,0.7855,63.734,2.9881,6.4237,0.3937,79.5849
2,3,flowering,336,2024-12-27,2025-01-09 23:00:00,13.9583,99.702,929.3487,27.0321,76.5104,0.875,59.8007,2.8646,6.6152,0.3695,76.1573
2,4,unripe,792,2025-01-10,2025-02-11 23:00:00,32.9583,99.874,1324.2805,27.5666,75.4722,0.953,65.5661,3.0347,7.7317,0.4539,85.7417
2,5,ripe,360,2025-02-12,2025-02-26 23:00:00,14.9583,99.722,1742.9209,28.9052,69.152,1.2911,89.4885,3.3723,6.4702,0.5226,110.0387
3,0,seedling,408,2025-03-05,2025-03-21 23:00:00,16.9583,99.755,157.7873,30.1482,72.5742,1.2594,80.2767,3.618,9.1095,0.6345,104.6895
3,1,early_vegetative,624,2025-03-22,2025-04-16 23:00:00,25.9583,99.84,566.5114,31.4289,70.5759,1.4333,83.787,3.447,8.5599,0.6678,103.8635
3,2,flowering_initiation,288,2025-04-17,2025-04-28 23:00:00,11.9583,99.653,937.2873,32.6731,69.3343,1.5899,85.2544,3.3907,6.3966,0.6349,104.7042
3,3,flowering,456,2025-04-29,2025-05-17 23:00:00,18.9583,99.781,1242.0872,32.391,69.2882,1.5846,81.8942,3.5971,7.9226,0.7183,101.2364
3,4,unripe,792,2025-05-18,2025-06-19 23:00:00,32.9583,99.874,1747.2475,31.9763,64.5473,1.7776,63.9108,3.4256,8.9093,0.7592,83.9884
3,5,ripe,240,2025-06-20,2025-06-29 23:00:00,9.9583,99.583,2171.2554,33.0525,57.3808,2.2327,70.3493,3.2873,6.1488,0.7412,88.2973
4,0,seedling,408,2025-07-01,2025-07-17 23:00:00,16.9583,99.755,169.206,33.4076,54.5924,2.427,73.6043,3.3774,6.1192,0.7946,91.3359
4,1,early_vegetative,576,2025-07-18,2025-08-10 23:00:00,23.9583,99.826,572.5434,31.5397,62.7239,1.8151,57.2781,3.2699,9.941,0.7826,77.9424
4,2,flowering_initiation,264,2025-08-11,2025-08-21 23:00:00,10.9583,99.621,909.5138,31.6815,60.1659,1.9569,66.4715,3.3525,10.29,0.8277,84.837
4,3,flowering,384,2025-08-22,2025-09-06 23:00:00,15.9583,99.74,1174.6373,32.3027,59.8963,2.0171,71.3704,3.228,7.1356,0.7056,90.9065
4,4,unripe,720,2025-09-07,2025-10-06 23:00:00,29.9583,99.861,1619.7346,30.889,68.6455,1.4791,70.3124,3.2602,9.6788,0.6858,87.7721
4,5,ripe,360,2025-10-07,2025-10-21 23:00:00,14.9583,99.722,2043.4708,28.766,81.5208,0.7948,51.4866,3.1607,8.9866,0.5048,70.0348
