cycle_id,disease_name,n_rows,n_active_hours,peak_infection,n_outbreaks,duration_hours,start_time,end_time,issues
1,early_blight,2712,1345,91.37,2,2711.0,2024-07-01,2024-10-21 23:00:00,OK
1,late_blight,2712,962,87.3,1,2711.0,2024-07-01,2024-10-21 23:00:00,OK
1,leaf_mold,2712,1317,84.56,2,2711.0,2024-07-01,2024-10-21 23:00:00,OK
1,powdery_mildew,2712,1271,100.0,2,2711.0,2024-07-01,2024-10-21 23:00:00,OK
1,spider_mites,2712,1301,88.18,2,2711.0,2024-07-01,2024-10-21 23:00:00,OK
2,early_blight,2616,530,40.24,1,2615.0,2024-11-10,2025-02-26 23:00:00,OK
2,late_blight,2616,903,47.25,2,2615.0,2024-11-10,2025-02-26 23:00:00,OK
2,leaf_mold,2616,601,46.47,1,2615.0,2024-11-10,2025-02-26 23:00:00,OK
2,powdery_mildew,2616,770,95.19,1,2615.0,2024-11-10,2025-02-26 23:00:00,OK
2,spider_mites,2616,542,44.55,1,2615.0,2024-11-10,2025-02-26 23:00:00,OK
3,early_blight,2808,1463,100.0,2,2807.0,2025-03-05,2025-06-29 23:00:00,OK
3,late_blight,2808,417,17.63,2,2807.0,2025-03-05,2025-06-29 23:00:00,OK
3,leaf_mold,2808,733,89.48,1,2807.0,2025-03-05,2025-06-29 23:00:00,OK
3,powdery_mildew,2808,1332,100.0,2,2807.0,2025-03-05,2025-06-29 23:00:00,OK
3,spider_mites,2808,1214,100.0,2,2807.0,2025-03-05,2025-06-29 23:00:00,OK
4,early_blight,2712,584,52.8,1,2711.0,2025-07-01,2025-10-21 23:00:00,OK
4,late_blight,2712,1458,62.46,1,2711.0,2025-07-01,2025-10-21 23:00:00,OK
4,leaf_mold,2712,516,43.7,2,2711.0,2025-07-01,2025-10-21 23:00:00,OK
4,powdery_mildew,2712,753,49.26,1,2711.0,2025-07-01,2025-10-21 23:00:00,OK
4,spider_mites,2712,868,49.55,1,2711.0,2025-07-01,2025-10-21 23:00:00,OK
