feature,importance,rank
day_night_flag_roll_std_24h,2.422501e-06,1
early_blight__disease_present_flag,1.867992e-06,2
powdery_mildew__disease_present_flag,1.6974427e-06,3
early_blight__infection_roll_std_24h,1.4016401e-06,4
day_night_flag_roll_mean_24h,1.4010989e-06,5
leaf_mold__infection_roll_std_6h,1.3871959e-06,6
powdery_mildew__infection_roll_std_24h,1.3332797e-06,7
leaf_mold__infection_roll_std_12h,1.3324293e-06,8
leaf_wetness_proxy_lag_24,1.3132643e-06,9
powdery_mildew__infection_roll_std_12h,1.3047675e-06,10
leaf_mold__disease_present_flag,1.2948475e-06,11
early_blight__infection_roll_max_24h,1.2900105e-06,12
early_blight__infection_roll_std_12h,1.2664248e-06,13
early_blight__infection_lag_1,1.222888e-06,14
spider_mites__disease_present_flag,1.2193283e-06,15
leaf_mold__infection_roll_max_12h,1.1868063e-06,16
stage_progress_pct,1.1846128e-06,17
leaf_mold__infection_roll_max_6h,1.169953e-06,18
early_blight__infection_lag_12,1.1661284e-06,19
leaf_wetness_proxy_lag_1,1.1644837e-06,20
solarradiation_roll_mean_24h,1.1635162e-06,21
powdery_mildew__infection_roll_std_6h,1.1479406e-06,22
leaf_wetness_proxy_lag_3,1.1335203e-06,23
leaf_mold__infection_roll_max_24h,1.1295988e-06,24
early_blight__current_infection_pct,1.1195168e-06,25
early_blight__infection_lag_3,1.1111842e-06,26
early_blight__infection_roll_std_6h,1.10591e-06,27
early_blight__infection_lag_24,1.10163e-06,28
hours_in_current_stage,1.0902266e-06,29
early_blight__infection_roll_max_12h,1.0832363e-06,30
leaf_mold__current_infection_pct,1.0723668e-06,31
early_blight__infection_roll_mean_12h,1.0676198e-06,32
leaf_mold__infection_roll_std_24h,1.0632441e-06,33
leaf_wetness_proxy_roll_mean_24h,1.0582274e-06,34
leaf_wetness_proxy_roll_mean_6h,1.0564162e-06,35
day_night_flag_lag_6,1.0246675e-06,36
leaf_mold__infection_roll_mean_12h,1.0213672e-06,37
leaf_mold__infection_lag_6,1.0196961e-06,38
hours_since_disease_onset,1.0060063e-06,39
early_blight__infection_roll_max_6h,1.0039948e-06,40
temperature_rolling_mean_24h_lag_24,9.937976e-07,41
cumulative_gdd_like_index_roll_std_24h,9.87756e-07,42
early_blight__infection_roll_mean_24h,9.852016e-07,43
leaf_mold__infection_lag_3,9.827628e-07,44
powdery_mildew__infection_roll_mean_24h,9.787017e-07,45
humidity_rolling_mean_24h_roll_std_6h,9.773051e-07,46
early_blight__infection_lag_2,9.682103e-07,47
powdery_mildew__infection_roll_max_24h,9.655063e-07,48
hours_since_onset_lag_1,9.586599e-07,49
leaf_wetness_proxy,9.586324e-07,50
dew_point,9.5018146e-07,51
dew_point_roll_mean_24h,9.3904856e-07,52
dew_point_roll_mean_12h,9.3693274e-07,53
leaf_mold__infection_roll_mean_24h,9.337778e-07,54
temperature_lag_3,9.115176e-07,55
leaf_wetness_proxy_roll_mean_12h,9.1035776e-07,56
temperature_rolling_mean_24h_roll_mean_24h,9.0876733e-07,57
leaf_mold__infection_lag_24,9.035557e-07,58
temperature_rolling_mean_24h,9.001231e-07,59
powdery_mildew__infection_lag_2,8.970732e-07,60
early_blight__infection_roll_mean_6h,8.955197e-07,61
week_of_year,8.9487133e-07,62
leaf_wetness_proxy_lag_6,8.861907e-07,63
leaf_mold__infection_roll_mean_6h,8.8211414e-07,64
vpd_proxy_roll_mean_12h,8.729152e-07,65
leaf_wetness_proxy_lag_2,8.6790766e-07,66
temperature_rolling_mean_24h_roll_std_24h,8.6229176e-07,67
leaf_mold__infection_lag_2,8.5666716e-07,68
day_of_year,8.518548e-07,69
humidity_rolling_mean_24h_roll_std_12h,8.5120473e-07,70
powdery_mildew__current_infection_pct,8.4386903e-07,71
cumulative_gdd_like_index_roll_std_12h,8.433214e-07,72
leaf_mold__infection_lag_1,8.410071e-07,73
powdery_mildew__infection_lag_1,8.3414466e-07,74
powdery_mildew__infection_lag_3,8.313262e-07,75
temperature_rolling_mean_24h_roll_mean_6h,8.312962e-07,76
humidity_rolling_mean_24h_roll_std_24h,8.291915e-07,77
powdery_mildew__control_action_flag,8.284089e-07,78
elapsed_hours,8.2778257e-07,79
leaf_wetness_proxy_roll_std_6h,8.271134e-07,80
vpd_proxy_lag_1,8.270867e-07,81
days_from_cycle_start,8.1586177e-07,82
leaf_wetness_proxy_lag_12,8.1435996e-07,83
powdery_mildew__infection_lag_12,8.1269155e-07,84
temperature_rolling_mean_24h_roll_std_6h,8.1067606e-07,85
humidity_lag_12,8.0749396e-07,86
air_velocity_lag_24,8.048352e-07,87
humidity_rolling_mean_24h_roll_mean_12h,8.0393323e-07,88
humidity_roll_std_24h,8.019451e-07,89
temperature_lag_24,7.956435e-07,90
early_blight__infection_lag_6,7.95418e-07,91
vpd_lag_1,7.9407135e-07,92
cumulative_gdd_like_index_lag_1,7.940202e-07,93
humidity_rolling_mean_24h_lag_24,7.934295e-07,94
leaf_mold__control_action_flag,7.916126e-07,95
leaf_wetness_proxy_roll_std_24h,7.909986e-07,96
spider_mites__infection_roll_std_24h,7.897856e-07,97
powdery_mildew__infection_roll_max_6h,7.876923e-07,98
powdery_mildew__infection_roll_max_12h,7.8695393e-07,99
dew_point_roll_std_6h,7.847023e-07,100
vpd_roll_mean_24h,7.8107183e-07,101
