,0
susc_early_blight,0.07386125
susc_late_blight,0.07380108
max_infection_pct_lag_1,0.061881106
max_infection_pct,0.030141333
total_infection_pct_lag_24,0.028993323
cycle_label_kharif_2024,0.016121546
stage_name_early_vegetative,0.014683196
cumulative_gdd_like_index,0.014574986
day_of_year,0.013125189
days_from_cycle_start,0.0128420405
susc_leaf_mold,0.012727608
cycle_label_kharif_2025,0.012013419
inf_early_blight_lag_6,0.011407118
max_infection_pct_lag_24,0.011305501
susc_powdery_mildew,0.011063302
indoor_humidity_roll_mean_24,0.011055248
inf_powdery_mildew_lag_24,0.010732935
inf_leaf_mold_lag_1,0.010628432
inf_leaf_mold,0.010487463
inf_leaf_mold_lag_12,0.010267414
day_night_flag,0.009769279
inf_late_blight_lag_3,0.009550518
inf_early_blight_lag_24,0.009534125
inf_early_blight_lag_12,0.009222892
vpd_roll_mean_24,0.0091517465
total_infection_pct_roll_mean_6,0.009130474
inf_late_blight_lag_6,0.0090632355
indoor_air_velocity,0.008951763
max_infection_pct_roll_mean_24,0.008512227
total_infection_pct,0.008493904
inf_powdery_mildew,0.008366256
max_infection_pct_roll_mean_6,0.008025358
humidity_rolling_mean_24h,0.00785915
inf_late_blight_lag_12,0.007829341
stage_name_flowering,0.007697169
inf_late_blight,0.0076457993
inf_spider_mites,0.0076385853
inf_late_blight_lag_24,0.007601628
inf_leaf_mold_lag_3,0.0074092164
inf_spider_mites_lag_24,0.007290391
inf_leaf_mold_lag_6,0.0070968815
total_infection_pct_lag_3,0.0069407634
max_infection_pct_lag_3,0.0068525607
solarradiation_roll_mean_24,0.0067417608
stage_name_flowering_initiation,0.006726319
inf_leaf_mold_lag_24,0.0066709956
indoor_temp_roll_mean_24,0.0066533103
inf_spider_mites_lag_6,0.0065640844
total_infection_pct_roll_mean_24,0.0065482655
inf_leaf_mold_delta_6h,0.0058694356
