horizon_h,split,disease,MAE,RMSE,Precision_High,Recall_High,F1_High
6,val,late_blight,6.324,11.335,0.975,0.893,0.932
6,val,leaf_mold,6.853,12.171,0.932,0.971,0.951
6,val,powdery_mildew,2.794,13.649,0.958,1.0,0.978
6,val,early_blight,5.147,12.823,0.99,0.982,0.986
6,val,spider_mites,0.022,0.132,0.0,0.0,0.0
6,test,late_blight,1.578,5.947,0.983,0.873,0.925
6,test,leaf_mold,1.686,6.324,0.965,0.926,0.945
6,test,powdery_mildew,3.32,10.425,0.968,0.992,0.98
6,test,early_blight,3.4,9.684,0.954,0.905,0.929
6,test,spider_mites,1.397,8.587,0.985,0.978,0.982
12,val,late_blight,9.509,15.348,0.944,0.864,0.902
12,val,leaf_mold,10.307,16.734,0.909,0.939,0.924
12,val,powdery_mildew,2.663,13.035,0.958,1.0,0.978
12,val,early_blight,4.414,12.397,0.989,0.977,0.983
12,val,spider_mites,0.356,1.623,0.0,0.0,0.0
12,test,late_blight,2.301,7.698,0.946,0.819,0.878
12,test,leaf_mold,2.51,8.543,0.926,0.92,0.923
12,test,powdery_mildew,5.232,13.333,0.962,0.983,0.972
12,test,early_blight,3.77,10.266,0.969,0.908,0.938
12,test,spider_mites,4.525,15.071,0.979,0.942,0.96
24,val,late_blight,23.862,32.318,0.906,0.597,0.72
24,val,leaf_mold,24.791,33.544,0.862,0.672,0.755
24,val,powdery_mildew,3.417,14.134,0.958,0.997,0.977
24,val,early_blight,13.668,23.268,0.978,0.871,0.921
24,val,spider_mites,0.145,0.549,0.0,0.0,0.0
24,test,late_blight,5.568,15.374,0.91,0.47,0.62
24,test,leaf_mold,5.806,15.567,0.868,0.565,0.685
24,test,powdery_mildew,12.883,24.669,0.94,0.944,0.942
24,test,early_blight,9.931,20.287,0.895,0.712,0.793
24,test,spider_mites,16.332,30.923,0.859,0.637,0.731
48,val,late_blight,41.207,49.706,0.411,0.289,0.339
48,val,leaf_mold,40.813,49.483,0.407,0.287,0.336
48,val,powdery_mildew,3.688,14.594,0.958,1.0,0.978
48,val,early_blight,35.279,44.991,0.929,0.6,0.729
48,val,spider_mites,0.192,0.902,0.0,0.0,0.0
48,test,late_blight,10.354,24.141,0.315,0.056,0.095
48,test,leaf_mold,11.044,25.461,0.5,0.082,0.141
48,test,powdery_mildew,20.167,31.466,0.9,0.856,0.877
48,test,early_blight,21.991,33.359,0.667,0.348,0.458
48,test,spider_mites,25.013,38.945,0.661,0.418,0.512
