epoch,learning_rate,loss,output_H12_loss,output_H12_mae,output_H24_loss,output_H24_mae,output_H48_loss,output_H48_mae,output_H6_loss,output_H6_mae,val_loss,val_output_H12_loss,val_output_H12_mae,val_output_H24_loss,val_output_H24_mae,val_output_H48_loss,val_output_H48_mae,val_output_H6_loss,val_output_H6_mae
0,0.0010000000474974513,87.84925842285156,20.98125457763672,20.98125457763672,22.107519149780273,22.107519149780273,23.328947067260742,23.328947067260742,21.431556701660156,21.431556701660156,96.58409881591797,22.631074905395508,22.63320541381836,20.720312118530273,20.73501205444336,28.226360321044922,28.314104080200195,24.90077781677246,24.90178871154785
1,0.0010000000474974513,38.33108139038086,6.089085102081299,6.089085102081299,12.746506690979004,12.746506690979004,13.280248641967773,13.280248641967773,6.215243339538574,6.215243339538574,64.94964599609375,13.142097473144531,13.142874717712402,16.934595108032227,16.941091537475586,21.4038028717041,21.44032096862793,13.418924331665039,13.425362586975098
2,0.0010000000474974513,34.198219299316406,4.558739185333252,4.558739185333252,12.211163520812988,12.211163520812988,12.676926612854004,12.676926612854004,4.751389503479004,4.751389503479004,62.546043395996094,11.97458267211914,11.949984550476074,16.334991455078125,16.32969856262207,21.61365509033203,21.648435592651367,12.644050598144531,12.617914199829102
3,0.0010000000474974513,33.25667190551758,4.233124732971191,4.233124732971191,12.038647651672363,12.038647651672363,12.432019233703613,12.432019233703613,4.552876949310303,4.552876949310303,62.27393341064453,12.00647258758545,11.982407569885254,16.377735137939453,16.36960220336914,21.514009475708008,21.54127311706543,12.407068252563477,12.380655288696289
4,0.0010000000474974513,32.438636779785156,4.088251113891602,4.088251113891602,11.852113723754883,11.852113723754883,12.096955299377441,12.096955299377441,4.401322364807129,4.401322364807129,63.65950393676758,12.902530670166016,12.881032943725586,16.555068969726562,16.539491653442383,21.315275192260742,21.343339920043945,12.918929100036621,12.895639419555664
5,0.0010000000474974513,31.621774673461914,4.014560222625732,4.014560222625732,11.69167709350586,11.69167709350586,11.637157440185547,11.637157440185547,4.278374195098877,4.278374195098877,61.68587875366211,11.996253967285156,11.964098930358887,16.34417152404785,16.317983627319336,21.324792861938477,21.351404190063477,12.080185890197754,12.052396774291992
6,0.0010000000474974513,30.297855377197266,3.821681022644043,3.821681022644043,11.50222110748291,11.50222110748291,10.898788452148438,10.898788452148438,4.075170516967773,4.075170516967773,60.97298049926758,11.81544017791748,11.789494514465332,15.99551773071289,15.976046562194824,21.191835403442383,21.22586441040039,12.00312614440918,11.981575012207031
7,0.0010000000474974513,29.26808738708496,3.7976133823394775,3.7976133823394775,11.411972999572754,11.411972999572754,10.031867980957031,10.031867980957031,4.026632785797119,4.026632785797119,62.045135498046875,12.185689926147461,12.156511306762695,16.28156280517578,16.24956512451172,21.469470977783203,21.493717193603516,12.174295425415039,12.14533805847168
8,0.0010000000474974513,28.406082153320312,3.721450090408325,3.721450090408325,11.297296524047852,11.297296524047852,9.471436500549316,9.471436500549316,3.915897846221924,3.915897846221924,61.67567825317383,12.359490394592285,12.328121185302734,16.18643569946289,16.156578063964844,21.253381729125977,21.275909423828125,11.945064544677734,11.91507339477539
9,0.0010000000474974513,27.501110076904297,3.664698839187622,3.664698839187622,11.100080490112305,11.100080490112305,8.875885963439941,8.875885963439941,3.8604469299316406,3.8604469299316406,60.62372589111328,11.942070007324219,11.919317245483398,15.87067985534668,15.853743553161621,21.124425888061523,21.1650333404541,11.709968566894531,11.685626983642578
10,0.0010000000474974513,26.900760650634766,3.595722198486328,3.595722198486328,10.969173431396484,10.969173431396484,8.590095520019531,8.590095520019531,3.74576735496521,3.74576735496521,59.72133255004883,11.886774063110352,11.879842758178711,15.833117485046387,15.822918891906738,20.530969619750977,20.56867027282715,11.459940910339355,11.449897766113281
11,0.0010000000474974513,26.566116333007812,3.597064256668091,3.597064256668091,10.83016586303711,10.83016586303711,8.39387035369873,8.39387035369873,3.7450084686279297,3.7450084686279297,61.67250061035156,12.150474548339844,12.124258041381836,16.21600914001465,16.190223693847656,21.28260040283203,21.310626983642578,12.075438499450684,12.047389030456543
12,0.0010000000474974513,26.053380966186523,3.5031392574310303,3.5031392574310303,10.744028091430664,10.744028091430664,8.207281112670898,8.207281112670898,3.5989315509796143,3.5989315509796143,60.21711349487305,12.12853717803955,12.108932495117188,15.669083595275879,15.657081604003906,20.73241424560547,20.771215438842773,11.7005615234375,11.679890632629395
13,0.0010000000474974513,25.564104080200195,3.4273972511291504,3.4273972511291504,10.633820533752441,10.633820533752441,7.997840404510498,7.997840404510498,3.5050406455993652,3.5050406455993652,60.97664260864258,12.168949127197266,12.13868236541748,16.033184051513672,16.00656509399414,21.249765396118164,21.275691986083984,11.58916187286377,11.55571460723877
14,0.0010000000474974513,25.420406341552734,3.411201238632202,3.411201238632202,10.588550567626953,10.588550567626953,7.946034908294678,7.946034908294678,3.474623918533325,3.474623918533325,60.075775146484375,11.909261703491211,11.891216278076172,15.4952392578125,15.47653865814209,21.09832763671875,21.13590431213379,11.591023445129395,11.572120666503906
15,0.0010000000474974513,25.186199188232422,3.360624313354492,3.360624313354492,10.533742904663086,10.533742904663086,7.870939254760742,7.870939254760742,3.4208836555480957,3.4208836555480957,60.15321350097656,12.082252502441406,12.056852340698242,15.468681335449219,15.442885398864746,20.997270584106445,21.025720596313477,11.655237197875977,11.627752304077148
16,0.0010000000474974513,24.670249938964844,3.262721538543701,3.262721538543701,10.434717178344727,10.434717178344727,7.6177239418029785,7.6177239418029785,3.3550870418548584,3.3550870418548584,59.8387565612793,12.29828929901123,12.283712387084961,15.42973804473877,15.409125328063965,20.7481746673584,20.787105560302734,11.37612247467041,11.358813285827637
17,0.0010000000474974513,24.42104148864746,3.2971999645233154,3.2971999645233154,10.390161514282227,10.390161514282227,7.47730827331543,7.47730827331543,3.256369113922119,3.256369113922119,59.649070739746094,12.054420471191406,12.039319038391113,15.484986305236816,15.468241691589355,20.737306594848633,20.77613639831543,11.382418632507324,11.365374565124512
18,0.0010000000474974513,24.114086151123047,3.2214438915252686,3.2214438915252686,10.345361709594727,10.345361709594727,7.357266426086426,7.357266426086426,3.1900155544281006,3.1900155544281006,59.614253997802734,12.238141059875488,12.224358558654785,15.517799377441406,15.49638557434082,20.54224395751953,20.580007553100586,11.330060005187988,11.313499450683594
