run_id,split,task,metric,RF,LSTM,delta_lstm_minus_rf
growth_progression_20260306_212928,val,classifier,accuracy,0.071,0.0061,-0.0649
growth_progression_20260306_212928,val,classifier,f1_macro,0.0591,0.0067,-0.0524
growth_progression_20260306_212928,val,classifier,f1_weighted,0.1209,0.0115,-0.1094
growth_progression_20260306_212928,val,classifier,precision_macro,0.1981,0.0514,-0.1467
growth_progression_20260306_212928,val,classifier,recall_macro,0.0347,0.0036,-0.0312
growth_progression_20260306_212928,val,regressor_time_h,mae_h,131.5581,134.153,2.5949
growth_progression_20260306_212928,val,regressor_time_h,rmse_h,155.1777,164.0721,8.8944
growth_progression_20260306_212928,val,regressor_time_h,r2,0.1084,0.0033,-0.1051
growth_progression_20260306_212928,val,regressor_time_h,mape_pct,316.8054,278.1106,-38.6948
growth_progression_20260306_212928,test,classifier,accuracy,0.3607,0.1452,-0.2154
growth_progression_20260306_212928,test,classifier,f1_macro,0.2695,0.0882,-0.1813
growth_progression_20260306_212928,test,classifier,f1_weighted,0.3266,0.1162,-0.2103
growth_progression_20260306_212928,test,classifier,precision_macro,0.2542,0.0824,-0.1717
growth_progression_20260306_212928,test,classifier,recall_macro,0.2936,0.1066,-0.187
growth_progression_20260306_212928,test,regressor_time_h,mae_h,126.2463,150.8724,24.626
growth_progression_20260306_212928,test,regressor_time_h,rmse_h,155.5257,178.36,22.8343
growth_progression_20260306_212928,test,regressor_time_h,r2,0.2234,-0.0214,-0.2448
growth_progression_20260306_212928,test,regressor_time_h,mape_pct,296.6995,277.7906,-18.909
