run_id,model,split,task,metric,value
growth_progression_20260306_212928,LSTM,val,classifier,n_samples,1464.0
growth_progression_20260306_212928,LSTM,val,classifier,accuracy,0.006148
growth_progression_20260306_212928,LSTM,val,classifier,precision_macro,0.051429
growth_progression_20260306_212928,LSTM,val,classifier,recall_macro,0.003571
growth_progression_20260306_212928,LSTM,val,classifier,f1_macro,0.006679
growth_progression_20260306_212928,LSTM,val,classifier,f1_weighted,0.011497
growth_progression_20260306_212928,LSTM,val,regressor_time_h,n_samples,1464.0
growth_progression_20260306_212928,LSTM,val,regressor_time_h,mae_h,134.152985
growth_progression_20260306_212928,LSTM,val,regressor_time_h,rmse_h,164.072125
growth_progression_20260306_212928,LSTM,val,regressor_time_h,r2,0.003296
growth_progression_20260306_212928,LSTM,val,regressor_time_h,mape_pct,278.110565
growth_progression_20260306_212928,LSTM,test,classifier,n_samples,6527.0
growth_progression_20260306_212928,LSTM,test,classifier,accuracy,0.145243
growth_progression_20260306_212928,LSTM,test,classifier,precision_macro,0.082448
growth_progression_20260306_212928,LSTM,test,classifier,recall_macro,0.106585
growth_progression_20260306_212928,LSTM,test,classifier,f1_macro,0.088219
growth_progression_20260306_212928,LSTM,test,classifier,f1_weighted,0.116233
growth_progression_20260306_212928,LSTM,test,regressor_time_h,n_samples,6527.0
growth_progression_20260306_212928,LSTM,test,regressor_time_h,mae_h,150.87236
growth_progression_20260306_212928,LSTM,test,regressor_time_h,rmse_h,178.360015
growth_progression_20260306_212928,LSTM,test,regressor_time_h,r2,-0.021425
growth_progression_20260306_212928,LSTM,test,regressor_time_h,mape_pct,277.790558
