feature,importance_clf,importance_reg,rank_clf
current_stage_encoded,0.13508886017180288,0.01727795047031281,1
cumulative_vpd_optimal_hours,0.04746945172915296,0.022755260387910096,2
cumulative_night_humidity_exposure,0.043824687675039845,0.018945619395134176,3
cumulative_vpd_stress_hours,0.04206064566469075,0.01692300577844171,4
cumulative_solar_exposure,0.040947051144054974,0.017836149542015622,5
cumulative_favorable_temp_hours,0.03247617008108239,0.012657023535880529,6
temperature_rolling_max_72h,0.024306628818409223,0.01580549417951819,7
vpd_rolling_min_72h,0.023444531333369253,0.017844283883568204,8
co2_rolling_mean_72h,0.02276990468346695,0.017391261339458255,9
temperature_rolling_mean_72h,0.021560472086871108,0.012683528002612573,10
humidity_rolling_min_72h,0.021223675851474732,0.011656254565638244,11
co2_rolling_mean_24h,0.019885669743648218,0.006247995516104344,12
stage_favorable_temp_hours,0.01979345694503005,0.035561951097663136,13
humidity_rolling_max_72h,0.019405313387438703,0.01274912348519085,14
temperature_rolling_min_72h,0.01907733549123114,0.009808738685121722,15
stage_vpd_optimal_hours,0.018781770590459917,0.09346367092476981,16
vpd_rolling_mean_72h,0.01794830337982302,0.011770796135597146,17
dew_point_rolling_max_72h,0.01681869750817305,0.017851322444881707,18
vpd_rolling_max_72h,0.01674645588474363,0.015424544081882405,19
stage_vpd_stress_hours,0.01489788981625799,0.0691815291195425,20
dew_point_rolling_mean_72h,0.014681897417860013,0.014805864889390383,21
humidity_rolling_mean_72h,0.01389613911041575,0.008099755759619267,22
temperature_rolling_max_24h,0.013408476911134845,0.007681952614764694,23
solar_radiation_rolling_max_72h,0.013013622133763173,0.011646793378588793,24
stage_solar_exposure,0.012949242870219015,0.10297833764374359,25
stage_age_hours,0.0125517118176359,0.13366611636858905,26
day_temperature_mean_24h,0.012061159442509621,0.005047179664747445,27
temperature_rolling_mean_24h,0.011782535717586456,0.006933843760517784,28
co2_rolling_min_72h,0.011280679035940764,0.009803223633816928,29
dew_point_rolling_min_72h,0.011091224467800465,0.01301852525658007,30
night_temperature_mean_24h,0.010701877255122803,0.007797989505576146,31
vpd_rolling_mean_24h,0.010503099659944854,0.00506766731194443,32
temperature_rolling_min_24h,0.010480275025007984,0.005722117049286285,33
air_velocity_rolling_mean_72h,0.009796207997978942,0.007844091578248292,34
day_vpd_mean_24h,0.009467434932692873,0.003843986211098112,35
vpd_rolling_min_24h,0.009021435729610871,0.00693086751938681,36
vpd_rolling_std_72h,0.0090052214541441,0.006223786594107871,37
humidity_rolling_max_24h,0.008306306319223673,0.006839894686765776,38
co2_rolling_std_72h,0.007751281116666302,0.00723238274588918,39
solar_radiation_rolling_std_72h,0.00759681722906006,0.007060461338149339,40
dew_point_rolling_std_72h,0.007475878330440901,0.0037203006819126958,41
night_vpd_mean_24h,0.007458227875707781,0.004365511852868248,42
air_velocity_rolling_min_72h,0.007226254304559787,0.011272610303536565,43
air_velocity_rolling_max_72h,0.007027511534755432,0.011243366923909428,44
vpd_rolling_max_24h,0.006718072275731957,0.005458691461521321,45
air_velocity_rolling_min_24h,0.0064945871406399056,0.00391086493705114,46
