run_id,model,split,task,metric,value
growth_progression_20260306_212928,RF,val,classifier,n_samples,1464.0
growth_progression_20260306_212928,RF,val,classifier,accuracy,0.071038
growth_progression_20260306_212928,RF,val,classifier,precision_macro,0.198095
growth_progression_20260306_212928,RF,val,classifier,recall_macro,0.034725
growth_progression_20260306_212928,RF,val,classifier,f1_macro,0.059091
growth_progression_20260306_212928,RF,val,classifier,f1_weighted,0.120886
growth_progression_20260306_212928,RF,val,regressor_time_h,n_samples,1464.0
growth_progression_20260306_212928,RF,val,regressor_time_h,mae_h,131.55806
growth_progression_20260306_212928,RF,val,regressor_time_h,rmse_h,155.17774
growth_progression_20260306_212928,RF,val,regressor_time_h,r2,0.10843
growth_progression_20260306_212928,RF,val,regressor_time_h,mape_pct,316.805389
growth_progression_20260306_212928,RF,test,classifier,n_samples,6527.0
growth_progression_20260306_212928,RF,test,classifier,accuracy,0.360656
growth_progression_20260306_212928,RF,test,classifier,precision_macro,0.254173
growth_progression_20260306_212928,RF,test,classifier,recall_macro,0.293559
growth_progression_20260306_212928,RF,test,classifier,f1_macro,0.269508
growth_progression_20260306_212928,RF,test,classifier,f1_weighted,0.326571
growth_progression_20260306_212928,RF,test,regressor_time_h,n_samples,6527.0
growth_progression_20260306_212928,RF,test,regressor_time_h,mae_h,126.246323
growth_progression_20260306_212928,RF,test,regressor_time_h,rmse_h,155.525671
growth_progression_20260306_212928,RF,test,regressor_time_h,r2,0.223368
growth_progression_20260306_212928,RF,test,regressor_time_h,mape_pct,296.699524
