check,key,value
total_rows,,10848
total_cycles,,4
duplicate_timestamp_cycle_pairs,,0
fully_duplicate_rows,,0
invalid_stage_progress_rows,,0
negative_eta_rows,,0
stage_order_violations,count,0
hourly_gap_issues,count,0
stage_distribution_hours,unripe,3072
stage_distribution_hours,early_vegetative,2448
stage_distribution_hours,flowering,1584
stage_distribution_hours,seedling,1392
stage_distribution_hours,ripe,1320
stage_distribution_hours,flowering_initiation,1032
stage_imbalance_ratio,,2.9767441860465116
outliers_iqr3_fence,indoor_temp,0
outliers_iqr3_fence,indoor_humidity,0
outliers_iqr3_fence,indoor_air_velocity,0
outliers_iqr3_fence,indoor_CO2,0
outliers_iqr3_fence,solarradiation,0
outliers_iqr3_fence,vpd,0
outliers_iqr3_fence,dew_point,0
