cycle_id,season_type,cycle_start,cycle_end,total_days,backbone_cycle_id,augmentation_method,generated_cycle_flag,hourly_rows,days_seedling,days_early_vegetative,days_flowering_initiation,days_flowering,days_unripe,days_ripe,mean_temp_seedling,mean_temp_early_vegetative,mean_temp_flowering_initiation,mean_temp_flowering,mean_temp_unripe,mean_temp_ripe
1,kharif,2024-07-01,2024-10-22,113,1,original,False,2712,12,26,11,17,32,15,32.05,31.759,30.326,31.23,32.5,28.914
2,rabi,2024-11-10,2025-02-27,109,2,original,False,2616,12,26,9,14,33,15,27.993,27.313,28.631,27.032,27.567,28.905
3,summer,2025-03-05,2025-06-30,117,3,original,False,2808,17,26,12,19,33,10,30.148,31.429,32.673,32.391,31.976,33.053
4,kharif,2025-07-01,2025-10-22,113,4,original,False,2712,17,24,11,16,30,15,33.408,31.54,31.681,32.303,30.889,28.766
5,kharif,2026-07-01,2026-10-16,108,1,season_warp,True,2592,17,21,8,18,32,12,32.073,31.772,30.321,31.239,32.507,28.923
6,kharif,2027-07-05,2027-10-23,111,4,duration_shift,True,2664,12,26,10,20,33,10,33.372,31.549,31.679,32.315,30.866,28.789
7,kharif,2026-07-10,2026-11-01,115,4,parameter_jitter,True,2760,12,22,12,18,37,14,33.251,31.531,31.702,32.287,30.947,28.758
8,kharif,2028-07-01,2028-10-28,120,1,duration_shift,True,2880,16,28,12,19,34,11,32.049,31.743,30.336,31.229,32.493,28.886
9,rabi,2026-11-05,2027-03-08,124,2,season_warp,True,2976,15,25,11,20,38,15,28.038,27.317,28.651,27.011,27.584,28.92
10,rabi,2027-11-08,2028-03-03,117,2,duration_shift,True,2808,15,26,12,20,32,12,27.992,27.301,28.637,27.011,27.599,28.915
11,rabi,2028-11-01,2029-02-18,110,2,parameter_jitter,True,2640,15,22,13,16,31,13,28.005,27.329,28.595,27.086,27.532,28.905
12,rabi,2026-11-15,2027-03-09,115,2,duration_shift,True,2760,14,25,12,17,36,11,27.947,27.318,28.577,27.034,27.56,28.936
13,summer,2026-03-10,2026-06-18,101,3,season_warp,True,2424,12,21,10,17,31,10,30.154,31.436,32.668,32.391,31.975,33.037
14,summer,2027-03-05,2027-07-03,121,3,duration_shift,True,2904,18,28,12,20,29,14,30.153,31.424,32.681,32.415,31.986,33.087
15,summer,2027-03-15,2027-07-02,110,3,parameter_jitter,True,2640,13,23,10,18,36,10,30.149,31.453,32.693,32.407,31.947,33.147
16,summer,2028-03-01,2028-06-17,109,3,cross_season_blend,True,2616,14,27,9,16,29,14,30.923,31.55,31.718,31.931,32.175,31.398
