decoder_step,horizon_hours,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,ordinal_distance,mae,rmse,r2,mape,median_abs_error,explained_variance
0,1,0.8358539284396902,0.8592269853988603,0.8404897087132496,0.8592269853988603,0.8283123597256347,0.8427256297126635,0.18922906676503135,0.23654013872146606,0.6366765763059137,0.8376052379608154,0.09042852371931076,4.76837158203125e-07,0.8516641855239868
4,5,0.8358539284396902,0.85902666488604,0.8401568828094059,0.85902666488604,0.8285515174913688,0.8422239463343694,0.18775359645887127,0.23506219685077667,0.6339317125975616,0.8390149474143982,0.09087450802326202,4.76837158203125e-07,0.8519870042800903
8,9,0.8362227960162302,0.8591735665954415,0.8402870198685252,0.8591735665954415,0.829159615093476,0.8421698943329619,0.18627812615271117,0.23358674347400665,0.6315128968704652,0.8402464985847473,0.09135700762271881,4.76837158203125e-07,0.8521763682365417
12,13,0.8376982663223903,0.8603621349715099,0.8418060458165334,0.8603621349715099,0.8309304619482457,0.8434064383332045,0.1848026558465511,0.23211100697517395,0.6294888232665274,0.8412673473358154,0.09188187122344971,4.76837158203125e-07,0.852199137210846
16,17,0.8391737366285503,0.8615507033475783,0.8433250717645416,0.8615507033475783,0.8326737288757112,0.8446687391306729,0.183327185540391,0.23063546419143677,0.6279592788866688,0.842029333114624,0.0924593135714531,4.76837158203125e-07,0.8520071506500244
20,21,0.8406492069347105,0.8627392717236467,0.8448440977125499,0.8627392717236467,0.8343895514189387,0.8459566571046717,0.1818517152342309,0.22953322529792786,0.6270817182103984,0.842455267906189,0.09322959929704666,4.76837158203125e-07,0.8515229821205139
24,25,0.8406492069347105,0.8620759882478631,0.8440065825701116,0.8620759882478631,0.8340048124614402,0.8456113222988426,0.1818517152342309,0.22987549006938934,0.6273552623941855,0.8422956466674805,0.09460176527500153,4.76837158203125e-07,0.8504970669746399
28,29,0.8391737366285503,0.8595608529202279,0.8408125263372265,0.8595608529202279,0.8315196249972464,0.8436326162055019,0.183327185540391,0.23135125637054443,0.6285308760173093,0.8416748642921448,0.09644618630409241,4.76837158203125e-07,0.8490536212921143
32,33,0.8376982663223903,0.8570457175925926,0.8376184701043415,0.8570457175925926,0.8290073322399737,0.8416791716550841,0.1848026558465511,0.23282676935195923,0.6297039399000607,0.8410471081733704,0.09829042106866837,4.76837158203125e-07,0.8476468324661255
36,37,0.8362227960162302,0.8545305822649572,0.8344244138714564,0.8545305822649572,0.8264680250710947,0.8397508908104977,0.18627812615271117,0.23430243134498596,0.6308753894391265,0.8404117822647095,0.10013467073440552,4.76837158203125e-07,0.8462761044502258
40,41,0.83474732571007,0.8520154469373219,0.8312303576385712,0.8520154469373219,0.8239017834509919,0.8378476860307498,0.18775359645887127,0.2357785850763321,0.6320455400999268,0.8397687077522278,0.10197914391756058,4.76837158203125e-07,0.8449411392211914
44,45,0.83327185540391,0.8495003116096865,0.8280363014056862,0.8495003116096865,0.8213086764942291,0.835969479792051,0.18922906676503135,0.23725493252277374,0.6332139990294707,0.8391179442405701,0.10382375866174698,4.76837158203125e-07,0.8436418771743774
