feature,importance
stage_duration_days,0.0416098488851636
stage_duration_hours_lag_1,0.037939855967554
stage_duration_days_roll_mean_6h,0.03769882008105774
stage_duration_days_roll_mean_12h,0.03703833682458461
stage_duration_hours_lag_6,0.036881584907660046
stage_duration_hours_lag_3,0.03387340686479742
stage_duration_days_lag_1,0.032092684051771
stage_progress_pct_roll_std_6h,0.031537996909130776
stage_duration_days_lag_2,0.02977197232783776
stage_duration_hours,0.029068725762042065
stage_duration_hours_roll_mean_12h,0.027381888172940405
stage_index_roll_mean_12h,0.027354425081611445
stage_index_lag_2,0.02630829101580673
stage_index_roll_mean_24h,0.02598047226717588
total_cycle_progress_pct_lag_3,0.02504499779322756
stage_duration_hours_roll_mean_6h,0.02231881306274434
stage_index_lag_3,0.02198307972435914
stage_index_lag_12,0.02063843753011331
stage_index_lag_1,0.020079786804831835
stage_index,0.01993862751886279
stage_index_roll_mean_6h,0.018831469772369436
total_cycle_progress_pct,0.01843175254596643
total_cycle_progress_pct_roll_mean_6h,0.018370187187164946
stage_duration_days_lag_6,0.017970263308594362
cumulative_gdd_like_index_lag_6,0.016720889367181125
stage_duration_days_lag_12,0.015992920397166037
stage_duration_hours_lag_12,0.015866583222592892
stage_duration_days_lag_3,0.015491289522202918
total_cycle_progress_pct_lag_6,0.015322495067562598
stage_index_lag_6,0.015264534416524497
